Date,S&P,DowJones,NASDAQ,Gold,Silver,Bitcoin,Palladium,Ruble,Hryvnia
2022-01-03,4796.64013671875,36595.8203125,15832.7998046875,1830.0999755859373,23.309999465942383,47510.7265625,1822.0,75.18560028076172,27.028234481811523
2022-01-04,4818.6201171875,36934.83984375,15852.1396484375,1815.300048828125,23.038000106811523,47406.546875,1855.699951171875,75.56800079345703,27.138206481933597
2022-01-05,4797.7001953125,36952.6484375,15586.2998046875,1824.5999755859373,23.149999618530277,46929.046875,1898.5999755859373,76.1229019165039,27.209152221679688
2022-01-06,4725.009765625,36464.19140625,15198.4501953125,1791.300048828125,22.799999237060547,43748.71875,1869.9000244140625,77.29170227050781,27.23061752319336
2022-01-07,4707.9501953125,36382.83984375,15171.01953125,1797.0,22.393999099731445,43153.5703125,1917.5999755859373,76.47599792480469,27.25784492492676
2022-01-10,4673.02001953125,36175.2109375,14953.849609375,1798.699951171875,22.489999771118164,42199.484375,1905.199951171875,75.75489807128906,27.220598220825195
2022-01-11,4714.1298828125,36271.46875,15158.7099609375,1822.5,22.80599975585937,43001.15625,1918.0999755859373,75.09809875488281,27.264631271362305
2022-01-12,4748.830078125,36453.48828125,15319.0302734375,1827.199951171875,23.200000762939453,44135.3671875,1911.800048828125,74.88600158691406,27.460918426513672
2022-01-13,4744.1298828125,36513.87890625,15259.7099609375,1823.0,23.155000686645508,44278.421875,1886.0,76.53299713134766,27.495603561401367
2022-01-14,4665.1298828125,35996.4296875,14897.6796875,1822.0,23.0,43346.6875,1874.199951171875,76.9469985961914,27.7004337310791
2022-01-18,4632.240234375,35661.76171875,14740.5400390625,1820.0999755859373,23.48699951171875,42534.40234375,1900.5999755859373,76.84100341796875,28.19826316833496
2022-01-19,4611.5498046875,35547.828125,14658.8896484375,1843.0999755859373,24.22599983215332,42478.3046875,2004.4000244140625,77.1355972290039,28.354419708251957
2022-01-20,4602.10986328125,35490.19921875,14642.0302734375,1843.0,24.711000442504883,43413.0234375,2069.699951171875,76.76899719238281,28.1099796295166
2022-01-21,4494.52001953125,34896.671875,14171.7197265625,1842.4000244140625,24.31399917602539,41060.52734375,2100.300048828125,77.4489974975586,28.11375617980957
2022-01-24,4417.35009765625,34420.98828125,13876.6103515625,1842.0999755859373,23.795000076293945,37247.51953125,2137.0,79.47599792480469,28.152070999145508
2022-01-25,4411.009765625,34591.0390625,13781.6201171875,1852.699951171875,23.94499969482422,37444.5703125,2184.89990234375,79.30400085449219,28.421607971191406
2022-01-26,4453.22998046875,34815.671875,14002.650390625,1829.9000244140625,23.80699920654297,38825.41015625,2346.60009765625,80.27899932861328,28.52325820922852
2022-01-27,4428.740234375,34773.3203125,13765.91015625,1793.300048828125,23.030000686645508,37148.32421875,2362.5,79.7040023803711,28.722137451171875
2022-01-28,4432.72021484375,34731.76953125,13771.91015625,1798.4000244140625,22.809999465942383,37952.87890625,2368.699951171875,78.28600311279297,28.765037536621094
2022-01-31,4516.89013671875,35148.140625,14242.900390625,1798.5,22.51499938964844,38647.26171875,2349.199951171875,77.96170043945312,28.30060577392578
2022-02-01,4550.490234375,35441.08984375,14358.6904296875,1806.0999755859373,23.0,39115.1328125,2343.199951171875,77.6260986328125,28.127309799194336
2022-02-02,4595.31005859375,35679.19921875,14504.8203125,1810.0999755859373,22.81999969482422,38834.6171875,2366.199951171875,76.76950073242188,28.116209030151367
2022-02-03,4542.8798828125,35535.94140625,14207.8896484375,1808.0999755859373,22.565000534057617,37154.6015625,2314.39990234375,76.78500366210938,28.149364471435547
2022-02-04,4539.66015625,35333.55078125,14222.759765625,1813.699951171875,22.530000686645508,41527.78515625,2287.39990234375,76.44200134277344,27.856281280517575
2022-02-07,4521.85986328125,35325.01171875,14236.3095703125,1821.300048828125,23.07999992370605,44401.86328125,2256.800048828125,76.01139831542969,27.937963485717773
2022-02-08,4531.31982421875,35544.890625,14226.48046875,1827.5999755859373,23.229999542236328,45293.8671875,2260.89990234375,75.58300018310547,27.7397575378418
2022-02-09,4590.02978515625,35824.28125,14490.7197265625,1835.199951171875,23.336000442504883,44727.80078125,2281.60009765625,75.1426010131836,27.714805603027344
2022-02-10,4588.919921875,35800.23828125,14509.5595703125,1842.0999755859373,23.518999099731445,45661.171875,2261.800048828125,74.92669677734375,27.7320556640625
2022-02-11,4526.330078125,35431.1484375,14246.7001953125,1864.800048828125,23.36599922180176,43810.83203125,2190.10009765625,76.15399932861328,27.75891876220703
2022-02-14,4426.22021484375,34744.55859375,13921.7099609375,1870.5999755859373,23.915000915527344,42775.77734375,2342.5,77.98529815673828,28.27075958251953
2022-02-15,4472.77001953125,35047.7890625,14142.490234375,1879.699951171875,23.33799934387207,44667.21875,2248.0,76.77999877929688,28.26176071166992
2022-02-16,4489.5498046875,35042.08984375,14163.73046875,1870.199951171875,23.60099983215332,44578.27734375,2268.300048828125,75.51260375976562,27.907224655151367
2022-02-17,4456.06005859375,34858.46875,14020.8203125,1900.699951171875,23.874000549316406,44132.97265625,2356.60009765625,76.63400268554688,28.05460548400879
2022-02-18,4394.60009765625,34423.578125,13762.400390625,1899.4000244140625,24.0,40929.15234375,2335.39990234375,77.28800201416016,28.07322883605957
2022-02-22,4362.1201171875,34024.73828125,13618.7197265625,1912.0,24.31100082397461,38359.85546875,2369.300048828125,80.90599822998047,28.66783332824707
2022-02-23,4341.509765625,33832.58984375,13533.7802734375,1910.5999755859373,24.55500030517578,39122.39453125,2438.10009765625,80.947998046875,29.097753524780277
2022-02-24,4294.72998046875,33269.33984375,13486.1103515625,1972.5,25.38999938964844,38968.83984375,2498.60009765625,89.93609619140625,29.63726806640625
2022-02-25,4385.33984375,34095.73828125,13696.8603515625,1920.0,24.524999618530277,39630.32421875,2479.0,85.75430297851562,29.713401794433597
2022-02-28,4388.83984375,33963.62890625,13810.6396484375,1928.4000244140625,24.854999542236328,43760.45703125,2536.5,112.59369659423828,29.819398880004883
2022-03-01,4378.4501953125,33870.140625,13777.0400390625,1942.4000244140625,25.565000534057617,44793.6015625,2706.5,116.29850006103516,29.77278709411621
2022-03-02,4401.47998046875,34013.671875,13796.5498046875,1948.199951171875,25.40999984741211,45077.578125,2662.60009765625,117.25599670410156,29.771821975708008
2022-03-03,4416.77978515625,34179.0703125,13837.58984375,1940.300048828125,25.540000915527344,44021.578125,2745.5,118.64849853515624,29.760229110717773
2022-03-04,4342.1201171875,33655.4296875,13486.7099609375,1970.9000244140625,25.834999084472656,42479.61328125,2979.89990234375,115.38990020751952,29.95219039916992
2022-03-07,4327.009765625,33579.75,13353.2802734375,2001.0999755859373,26.28499984741211,39430.2265625,3380.5,154.71499633789062,30.144258499145508
2022-03-08,4276.93994140625,33402.98046875,13159.4404296875,2072.0,27.309999465942383,39304.44140625,3028.0,141.46499633789062,29.728029251098636
2022-03-09,4299.39990234375,33457.28125,13301.16015625,2063.0,26.899999618530277,42465.671875,3005.5,138.96499633789062,29.78346824645996
2022-03-10,4268.27978515625,33236.58984375,13163.5,2010.5,26.20199966430664,42004.7265625,2921.5,139.96499633789062,29.559783935546875
2022-03-11,4291.009765625,33515.609375,13239.349609375,1996.0,26.200000762939453,40081.6796875,2792.89990234375,135.46499633789062,29.267333984375
2022-03-14,4247.56982421875,33395.58984375,12918.009765625,1977.699951171875,25.950000762939453,39742.5,2628.0,132.97000122070312,29.377098083496094
2022-03-15,4271.0498046875,33620.83984375,12973.8798828125,1939.9000244140625,25.12299919128418,39794.62890625,2407.39990234375,120.21499633789062,29.107641220092773
2022-03-16,4358.89990234375,34075.94140625,13440.1201171875,1922.4000244140625,25.06999969482422,41465.453125,2363.39990234375,116.99829864501952,29.219846725463867
2022-03-17,4412.669921875,34483.921875,13620.7998046875,1947.199951171875,25.63999938964844,41287.53515625,2530.0,105.63500213623048,29.355329513549805
2022-03-18,4465.39990234375,34755.19921875,13899.2802734375,1939.300048828125,25.40999984741211,42195.74609375,2536.0,106.33999633789062,29.24042510986328
2022-03-21,4481.75,34808.28125,13945.8095703125,1928.5999755859373,25.3700008392334,41454.41015625,2533.39990234375,107.71499633789062,29.13119506835937
2022-03-22,4522.0,34882.03125,14141.0703125,1920.699951171875,25.19499969482422,43124.70703125,2493.0,109.71499633789062,29.222332000732425
2022-03-23,4501.06982421875,34748.83984375,14152.1396484375,1936.5999755859373,25.270000457763672,42893.5078125,2515.39990234375,106.96499633789062,29.119144439697266
2022-03-24,4520.580078125,34713.55859375,14193.5498046875,1964.0,25.905000686645508,44131.85546875,2526.699951171875,101.96499633789062,29.14912796020508
2022-03-25,4546.02978515625,34942.69921875,14218.759765625,1953.800048828125,25.96500015258789,44999.4921875,2390.39990234375,102.21499633789062,29.27042579650879
2022-03-28,4575.64990234375,34957.9296875,14356.0,1939.5999755859373,25.209999084472656,48086.8359375,2238.5,101.96499633789062,29.380617141723636
2022-03-29,4637.2998046875,35372.26171875,14646.900390625,1912.0,24.715999603271484,48022.2890625,2108.800048828125,96.46499633789062,29.29139709472656
2022-03-30,4627.77001953125,35361.359375,14609.25,1937.0,25.225000381469727,47655.1484375,2243.0,89.96499633789062,29.279760360717773
2022-03-31,4603.06982421875,35201.51953125,14456.740234375,1949.9000244140625,25.121000289916992,47512.02734375,2255.5,84.21499633789062,29.227519989013672
2022-04-01,4548.7001953125,34847.91015625,14306.9404296875,1938.0,24.8700008392334,46616.2421875,2267.39990234375,88.96499633789062,29.322328567504883
2022-04-04,4583.5,34940.78125,14534.3798828125,1936.0999755859373,24.583999633789062,46791.08984375,2274.89990234375,86.46499633789062,29.17853164672852
2022-04-05,4593.4501953125,35112.2109375,14500.2900390625,1943.5,24.63500022888184,47106.140625,2235.199951171875,86.1084976196289,29.19354248046875
2022-04-06,4503.93994140625,34609.83984375,14032.83984375,1931.800048828125,24.459999084472656,45544.35546875,2184.60009765625,85.01349639892578,29.32665634155273
2022-04-07,4521.16015625,34705.828125,13978.25,1934.800048828125,24.732999801635746,43860.69921875,2223.0,82.48149871826172,29.125324249267575
2022-04-08,4520.41015625,34908.4609375,13866.0595703125,1947.699951171875,24.924999237060547,43903.01953125,2420.0,80.33999633789062,29.210840225219727
2022-04-11,4464.35009765625,34701.33984375,13585.080078125,1968.4000244140625,25.51499938964844,42424.58984375,2500.0,85.08999633789062,29.152212142944336
2022-04-12,4471.0,34669.96875,13685.9501953125,1977.0999755859373,25.774999618530277,40617.5859375,2353.699951171875,85.59649658203125,29.253005981445312
2022-04-13,4453.919921875,34598.359375,13679.4296875,1981.0,26.024999618530277,41430.0546875,2338.800048828125,85.33999633789062,29.38566017150879
2022-04-14,4460.4599609375,34889.171875,13662.9296875,1978.699951171875,25.690000534057617,41451.48046875,2354.300048828125,83.56639862060547,29.127975463867188
2022-04-18,4410.31005859375,34618.2890625,13414.26953125,1997.0999755859373,26.13999938964844,40986.3203125,2444.0,83.21510314941406,29.407772064208984
2022-04-19,4471.02978515625,34983.109375,13643.9697265625,1978.300048828125,26.03499984741211,41672.9609375,2379.300048828125,81.58999633789062,29.467931747436523
2022-04-20,4488.2900390625,35315.3984375,13678.5498046875,1953.5999755859373,25.270000457763672,42126.30078125,2458.800048828125,84.5270004272461,29.241249084472656
