Datetime,S&P,DowJones,NASDAQ
2022-01-03 09:30:00-05:00,4795.85986328125,36502.51171875,15794.998046875
2022-01-03 10:30:00-05:00,4785.72021484375,36468.328125,15783.671875
2022-01-03 11:30:00-05:00,4779.0498046875,36420.0390625,15762.6865234375
2022-01-03 12:30:00-05:00,4780.2099609375,36441.12109375,15768.583984375
2022-01-03 13:30:00-05:00,4788.85986328125,36524.0,15801.732421875
2022-01-03 14:30:00-05:00,4795.2001953125,36557.2890625,15831.6591796875
2022-01-03 15:30:00-05:00,4796.3798828125,36595.8203125,15831.1611328125
2022-01-04 09:30:00-05:00,4818.6201171875,36907.05859375,15848.0859375
2022-01-04 10:30:00-05:00,4815.22021484375,36934.83984375,15744.44140625
2022-01-04 11:30:00-05:00,4797.6201171875,36866.7890625,15608.1220703125
2022-01-04 12:30:00-05:00,4794.18994140625,36847.6796875,15587.1533203125
2022-01-04 13:30:00-05:00,4786.2900390625,36809.76953125,15564.7724609375
2022-01-04 14:30:00-05:00,4800.83984375,36876.0390625,15640.3623046875
2022-01-04 15:30:00-05:00,4807.64013671875,36895.46875,15666.53125
2022-01-05 09:30:00-05:00,4797.7001953125,36904.75,15584.7783203125
2022-01-05 10:30:00-05:00,4795.2001953125,36924.578125,15541.7724609375
2022-01-05 11:30:00-05:00,4790.419921875,36950.37109375,15511.8857421875
2022-01-05 12:30:00-05:00,4789.009765625,36952.6484375,15472.3525390625
2022-01-05 13:30:00-05:00,4786.08984375,36921.890625,15453.25
2022-01-05 14:30:00-05:00,4755.72998046875,36727.2109375,15324.6787109375
2022-01-05 15:30:00-05:00,4728.8798828125,36577.80078125,15206.1884765625
2022-01-06 09:30:00-05:00,4720.740234375,36464.19140625,15172.2177734375
2022-01-06 10:30:00-05:00,4716.33984375,36374.6484375,15198.447265625
2022-01-06 11:30:00-05:00,4714.22998046875,36370.140625,15167.3642578125
2022-01-06 12:30:00-05:00,4725.009765625,36448.390625,15197.6025390625
2022-01-06 13:30:00-05:00,4712.6201171875,36320.91015625,15157.791015625
2022-01-06 14:30:00-05:00,4718.64990234375,36371.41015625,15178.947265625
2022-01-06 15:30:00-05:00,4708.18994140625,36311.6484375,15135.8046875
2022-01-07 09:30:00-05:00,4707.9501953125,36258.3984375,15170.3486328125
2022-01-07 10:30:00-05:00,4688.9501953125,36241.80859375,15027.4072265625
2022-01-07 11:30:00-05:00,4697.10009765625,36382.83984375,15015.498046875
2022-01-07 12:30:00-05:00,4692.27978515625,36344.76171875,15005.5947265625
2022-01-07 13:30:00-05:00,4690.89013671875,36349.078125,14992.1884765625
2022-01-07 14:30:00-05:00,4695.72021484375,36375.05859375,15012.228515625
2022-01-07 15:30:00-05:00,4690.509765625,36339.25,14986.60546875
2022-01-10 09:30:00-05:00,4655.33984375,36175.2109375,14772.390625
2022-01-10 10:30:00-05:00,4617.75,35844.4296875,14691.2607421875
2022-01-10 11:30:00-05:00,4617.02978515625,35833.640625,14688.818359375
2022-01-10 12:30:00-05:00,4624.14013671875,35874.1015625,14721.2275390625
2022-01-10 13:30:00-05:00,4649.3701171875,36015.66015625,14829.30078125
2022-01-10 14:30:00-05:00,4654.490234375,36002.8203125,14855.5556640625
2022-01-10 15:30:00-05:00,4673.02001953125,36085.30859375,14953.814453125
2022-01-11 09:30:00-05:00,4670.85986328125,36093.390625,14998.060546875
2022-01-11 10:30:00-05:00,4683.10986328125,36044.921875,15074.900390625
2022-01-11 11:30:00-05:00,4696.72021484375,36143.76953125,15140.8740234375
2022-01-11 12:30:00-05:00,4699.47021484375,36165.921875,15126.802734375
2022-01-11 13:30:00-05:00,4701.8701171875,36192.37109375,15132.5654296875
2022-01-11 14:30:00-05:00,4712.27978515625,36271.46875,15158.6455078125
2022-01-11 15:30:00-05:00,4714.1298828125,36266.1484375,15154.9755859375
2022-01-12 09:30:00-05:00,4748.830078125,36453.48828125,15318.6337890625
2022-01-12 10:30:00-05:00,4741.419921875,36371.7109375,15288.345703125
2022-01-12 11:30:00-05:00,4731.0498046875,36321.55078125,15212.6416015625
2022-01-12 12:30:00-05:00,4734.5400390625,36362.1484375,15248.8544921875
2022-01-12 13:30:00-05:00,4727.68017578125,36303.8203125,15222.216796875
2022-01-12 14:30:00-05:00,4727.6298828125,36278.44140625,15218.091796875
2022-01-12 15:30:00-05:00,4732.43017578125,36341.390625,15208.0048828125
2022-01-13 09:30:00-05:00,4744.1298828125,36478.4296875,15257.0283203125
2022-01-13 10:30:00-05:00,4729.39013671875,36488.8515625,15159.5634765625
2022-01-13 11:30:00-05:00,4728.91015625,36513.87890625,15126.537109375
2022-01-13 12:30:00-05:00,4703.58984375,36371.19140625,14996.2431640625
2022-01-13 13:30:00-05:00,4707.240234375,36401.08984375,15016.82421875
2022-01-13 14:30:00-05:00,4690.89990234375,36311.41015625,14952.70703125
2022-01-13 15:30:00-05:00,4680.7099609375,36229.41015625,14905.0693359375
2022-01-14 09:30:00-05:00,4663.2900390625,35996.4296875,14889.1552734375
2022-01-14 10:30:00-05:00,4648.6298828125,35890.26171875,14818.9951171875
2022-01-14 11:30:00-05:00,4648.830078125,35889.83984375,14836.1328125
2022-01-14 12:30:00-05:00,4643.83984375,35843.08984375,14800.5244140625
2022-01-14 13:30:00-05:00,4640.7099609375,35792.23828125,14806.25390625
2022-01-14 14:30:00-05:00,4657.31005859375,35872.94921875,14870.3095703125
2022-01-14 15:30:00-05:00,4665.1298828125,35935.28125,14896.8828125
2022-01-18 09:30:00-05:00,4632.240234375,35661.76171875,14740.5439453125
2022-01-18 10:30:00-05:00,4605.89013671875,35438.578125,14728.455078125
2022-01-18 11:30:00-05:00,4601.7099609375,35453.71875,14656.8232421875
2022-01-18 12:30:00-05:00,4584.7099609375,35367.69140625,14596.8173828125
