Datetime,Bitcoin,Ruble,Hryvnia
2022-01-03 01:00:00+00:00,47173.953125,75.02970123291016,27.25
2022-01-03 04:00:00+00:00,46934.41015625,75.19390106201172,27.25
2022-01-03 14:00:00+00:00,47235.921875,74.61943054199219,27.270000457763672
2022-01-03 15:00:00+00:00,46979.921875,74.80259704589844,27.270000457763672
2022-01-03 17:00:00+00:00,46759.625,74.60700225830078,27.270000457763672
2022-01-03 18:00:00+00:00,46708.3203125,74.58809661865234,27.270000457763672
2022-01-03 19:00:00+00:00,46641.5625,74.58480072021484,27.270000457763672
2022-01-03 20:00:00+00:00,46415.76171875,74.55690002441406,27.270000457763672
2022-01-03 21:00:00+00:00,46189.88671875,74.60569763183594,27.270000457763672
2022-01-03 22:00:00+00:00,46371.6796875,74.5824966430664,27.270000457763672
2022-01-04 02:00:00+00:00,46220.890625,74.4844970703125,27.270000457763672
2022-01-04 03:00:00+00:00,46357.2265625,74.57540130615234,27.270000457763672
2022-01-04 04:00:00+00:00,46369.71484375,74.58290100097656,27.270000457763672
2022-01-04 14:00:00+00:00,47346.37109375,75.5799331665039,27.350000381469727
2022-01-04 15:00:00+00:00,47406.546875,75.51249694824219,27.270000457763672
2022-01-04 16:00:00+00:00,46926.9609375,75.26080322265625,27.270000457763672
2022-01-04 17:00:00+00:00,46938.0,75.31392669677734,27.270000457763672
2022-01-04 19:00:00+00:00,46323.75,75.41062927246094,27.270000457763672
2022-01-04 23:00:00+00:00,46147.41015625,75.29959869384766,27.270000457763672
2022-01-05 00:00:00+00:00,46268.390625,75.30180358886719,27.270000457763672
2022-01-05 01:00:00+00:00,46310.296875,75.38500213623047,27.270000457763672
2022-01-05 03:00:00+00:00,46475.03515625,75.40119934082031,27.270000457763672
2022-01-05 04:00:00+00:00,46466.234375,75.52999877929688,27.270000457763672
2022-01-05 14:00:00+00:00,46551.76171875,75.8237075805664,27.270000457763672
2022-01-05 15:00:00+00:00,46724.42578125,75.78050231933594,27.450000762939453
2022-01-05 16:00:00+00:00,46619.36328125,76.21212768554688,27.290000915527344
2022-01-05 17:00:00+00:00,46461.0703125,76.1324234008789,27.290000915527344
2022-01-06 02:00:00+00:00,43593.39453125,76.70850372314453,27.290000915527344
2022-01-06 03:00:00+00:00,43332.92578125,76.73780059814453,27.290000915527344
2022-01-06 13:00:00+00:00,43159.5546875,76.909912109375,27.450000762939453
2022-01-06 14:00:00+00:00,43211.2734375,77.13250732421875,27.450000762939453
2022-01-06 15:00:00+00:00,43026.3671875,76.87525939941406,27.450000762939453
2022-01-06 16:00:00+00:00,43065.05859375,76.51439666748047,27.450000762939453
2022-01-06 17:00:00+00:00,43161.2109375,76.57499694824219,27.450000762939453
2022-01-06 18:00:00+00:00,43341.21484375,76.58380889892578,27.450000762939453
2022-01-06 19:00:00+00:00,43414.7265625,76.41863250732422,27.450000762939453
2022-01-07 04:00:00+00:00,41890.4296875,76.30500030517578,27.450000762939453
2022-01-07 14:00:00+00:00,41987.65625,75.58680725097656,27.46999931335449
2022-01-07 15:00:00+00:00,41946.3984375,75.27850341796875,27.46999931335449
2022-01-07 16:00:00+00:00,41989.921875,75.39659881591797,27.450000762939453
2022-01-07 17:00:00+00:00,42134.08203125,75.39122009277344,27.450000762939453
2022-01-07 18:00:00+00:00,42008.4453125,75.47509765625,27.450000762939453
2022-01-07 19:00:00+00:00,41810.68359375,75.50892639160156,27.450000762939453
2022-01-07 20:00:00+00:00,42009.109375,76.08000183105469,27.450000762939453
2022-01-07 21:00:00+00:00,42008.96484375,75.98149871826172,27.450000762939453
2022-01-07 22:00:00+00:00,41923.05859375,75.76619720458984,27.450000762939453
2022-01-10 04:00:00+00:00,42198.05859375,75.7020034790039,27.450000762939453
2022-01-10 13:00:00+00:00,41082.45703125,75.18419647216797,27.48900032043457
2022-01-10 14:00:00+00:00,40973.04296875,75.22904205322266,27.48900032043457
2022-01-10 15:00:00+00:00,41074.7890625,75.2977066040039,27.48900032043457
2022-01-10 16:00:00+00:00,41831.26953125,75.3651123046875,27.48900032043457
2022-01-10 17:00:00+00:00,41845.01953125,75.30000305175781,27.48900032043457
2022-01-10 18:00:00+00:00,41596.0390625,75.23999786376953,27.48900032043457
2022-01-10 19:00:00+00:00,41608.8359375,75.23699951171875,27.48900032043457
2022-01-10 20:00:00+00:00,41616.2421875,75.21800231933594,27.48900032043457
2022-01-10 22:00:00+00:00,41812.37890625,75.01699829101562,27.48900032043457
2022-01-10 23:00:00+00:00,41833.26171875,75.65809631347656,27.48900032043457
2022-01-11 00:00:00+00:00,41838.20703125,75.21510314941406,27.48900032043457
2022-01-11 01:00:00+00:00,41961.0625,75.27799987792969,27.48900032043457
2022-01-11 02:00:00+00:00,42266.25,74.9813003540039,27.48900032043457
2022-01-11 04:00:00+00:00,42291.0078125,74.9800033569336,27.48900032043457
2022-01-11 13:00:00+00:00,41889.4921875,74.93710327148438,27.57999992370605
2022-01-11 14:00:00+00:00,41811.19921875,74.99681091308594,27.489999771118164
2022-01-11 15:00:00+00:00,42030.09765625,74.908203125,27.489999771118164
2022-01-11 16:00:00+00:00,42782.37109375,74.6095962524414,27.489999771118164
2022-01-11 17:00:00+00:00,42971.08984375,74.59243774414062,27.489999771118164
2022-01-11 18:00:00+00:00,42840.87890625,74.60769653320312,27.489999771118164
2022-01-11 19:00:00+00:00,42968.16015625,74.5510025024414,27.489999771118164
2022-01-11 20:00:00+00:00,43001.15625,74.50110626220703,27.489999771118164
2022-01-11 22:00:00+00:00,42752.44140625,74.49120330810547,27.489999771118164
